commodity,equity,correlation,z_score_corr,lag1,lag3,lag5,lag10,lag20
Gold,Coeur,0.5204827137810077,0.49434725562609355,-0.04618082690164247,-0.02647559468964275,-0.01895827241593114,0.060919798531464245,-0.03259055060342582
WTI_Oil,Schlumberger,0.5154110391648313,0.5017866822612211,0.0025736429474929085,0.07511352428435625,0.010362139195646344,0.04051412849490787,-0.00818123448099524
Brent_Oil,Chevron,0.5138977377048778,0.46704575227008766,0.001235461505286989,0.036376990483398576,0.03007152104235456,0.03371014944944949,-0.008749944079803307
Gasoline,ConocoPhillips,0.5137519680371686,0.4839417119554069,-0.06155783172818088,0.01847927649664571,-0.013897900318864124,0.012427463485633696,0.019192713977115475
Copper,BHP,0.5109770821782996,0.495125140027766,0.016031921416500092,0.008726885678297755,-0.035895797751227136,-0.003161179215755391,-0.020861738227252263
Platinum,SPDR_Gold_ETF,0.5107410041610395,0.4934010026279001,-0.002439831728681026,0.018238125516698924,-0.07014451434976468,-0.006516286444651804,-0.029673855472309565
Copper,RioTinto,0.5089359192103803,0.49994872923682926,0.005818646261417325,0.015510137748920436,-0.05097671737397544,-0.002553985062270052,-0.020985954276545118
Gold,MAGSilver,0.5082823528698266,0.5001936544087902,-0.012297788130751233,-0.03371091403694157,-0.033599557970063997,0.0530243236045849,-0.02970988577037183
Silver,Kinross,0.502921486607979,0.508592075511379,-0.02397357241635728,-0.003764888813916838,-0.04803289861375099,0.01953025189651963,-0.025294321179240516
Silver,Newmont,0.5016199465316221,0.502118532499889,-0.012809668988159481,-0.017291444735268568,-0.0380731623082481,0.02694256280983644,-0.022313893161215455
WTI_Oil,Exxon,0.49635032928138023,0.5094977711408698,-0.0473175025184878,0.051725635973648244,-0.009410352392141707,0.031153571104366045,0.016326452040725727
WTI_Oil,Chevron,0.49337122000424866,0.4822814589574902,0.005222183474259014,0.060348775076610205,0.022387430941663698,0.04464022528893726,-0.001462675163648713
Gasoline,Chevron,0.4861399111060297,0.42816690834796517,-0.06213249528909497,-0.011745909543285953,0.013830445185370575,-0.030023488634293,-0.010392189917450908
Gasoline,Exxon,0.47501085982141394,0.4447585040916846,-0.060139972339997606,-0.004696199802057847,-0.0025507289494170306,0.0044470841317495865,-0.0005060775302784918
Gasoline,Schlumberger,0.4744915951520295,0.43507469775174645,-0.01636985022314486,-0.019664724966727425,-0.0005966077399236902,-0.012979278243552597,-0.0066305662933455025
Platinum,PanAmerican,0.4496968296346907,0.4313133323429,-0.010698502540891455,-0.03687619444008954,-0.06494351335918307,0.02735888315773684,-0.014183586707653245
Platinum,Hecla,0.44903393512132733,0.42565123401180777,-0.045306625994826766,-0.0560480510164689,-0.05646651877546067,0.028557255644117693,-0.037000915124461915
Platinum,FirstMajestic,0.4452353543148034,0.43419806470454114,-0.04178024539962274,-0.043610673757434874,-0.04747310913969171,0.03968772605565745,-0.009347938865628737
Gasoline,Phillips66,0.4363550522460472,0.394722329829052,-0.002716847502825532,0.011984311281160495,-0.015327303839116176,-0.006436111247173392,0.006194954736462982
Gasoline,Marathon,0.42993043161750816,0.3759013120598353,0.03037463361291523,0.01714185695035654,0.021217050339357477,-0.02496109985341001,-0.007340752508246755
Platinum,Endeavour,0.4282321859793065,0.411093794275367,-0.014503039125876903,-0.030142803325425332,-0.04394262192359436,0.04461255848842062,-0.016157193871896052
Gasoline,Valero,0.42409369320608054,0.38041634062205043,0.029602355701336007,0.011909252323527807,0.012633171157924712,-0.02503178033272236,-0.002674181487943054
Platinum,Wheaton,0.42357728249979376,0.42037979348948645,-0.009688747106422233,-0.022243627578864732,-0.040033952989165004,0.02509829830735224,-0.018218331264668493
Brent_Oil,Phillips66,0.4169029367369883,0.39336002738315623,-0.0014612566751918174,0.06647469865016968,-0.015084388862401888,0.03619636624878163,0.0019409058266683466
Platinum,Coeur,0.41465432769419824,0.3997435979676096,-0.037047728898294316,-0.07265717188919743,-0.06726055746683102,0.0532879097251809,-0.028584563637926858
Brent_Oil,BHP,0.4093326029349085,0.36857468116807024,-0.03491413026790653,0.021477600714967567,-0.002105904652511987,0.006927159078697594,-0.00920435612775242
Platinum,Fortuna,0.3993308851768758,0.3846265719919577,-0.03796416330588216,-0.04748717655738477,-0.04957099571409181,0.0556580394335293,-0.02012088502688756
Platinum,Agnico,0.3976245617534583,0.4001661538006603,-0.024608342764229737,-0.03127239888952072,-0.07033715494189006,0.03396094352095603,-0.029693869438667284
Platinum,Newmont,0.3906637976512379,0.3868706203817476,-0.002399945330903393,-0.023652055170733037,-0.06168691343923428,0.032171703885714914,-0.047676259899504414
WTI_Oil,BHP,0.38974732547702484,0.38074114779910007,-0.03323574196149972,0.027737721307322098,0.0026390370577852717,0.017244662469974043,-0.006438859056383772
Platinum,MAGSilver,0.3892044163419265,0.36941068227147733,-0.04843682674101247,-0.03850568634803647,-0.05528568911844388,0.04104501060554992,-0.019253095365184218
